Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
6563,26672291,192471779,-20978.8722,0.0,-16607.2569,-18866.77485,-15696.0921,0.0,4600.0323,5825.99685,-187485.3888,0.0,-1444.7487,3211.44915,5405.81685,0.0,0.0,-13.3206,0,0,0,0,0
,-326,-12,-563,,-585,-715,-755,,-622,-760,,,-935,-813,-820,,,11,,,,,
,-147,12,-3928,,-2969,-3662,-4740,,-2569,-3017,,,-3930,-3672,-3945,,,1,,,,,
,-974,1,-2102,,-1134,-1615,-2542,,-632,-768,,,-1356,-1310,-1553,,,-1,,,,,
,2722,-13,-546,,-296,-357,-375,,-219,-58,,,-293,-151,-75,,,-12,,,,,
,-1841,17,438,,544,659,666,,526,733,,,803,795,750,,,-2,,,,,
,-1060,-18,3931,,3012,3826,4586,,2567,3020,,,3894,3581,3688,,,3,,,,,
,-77,1,2063,,1140,1653,2463,,722,823,,,1287,1243,1383,,,3,,,,,
,3541,12,410,,140,235,473,,-87,-26,,,89,141,217,,,-8,,,,,
,-3238,-11,-694,,-697,-827,-636,,-690,-823,,,-826,-777,-658,,,,,,,,
,-305,,-3848,,-2943,-3860,-4790,,-2421,-3054,,,-3750,-3623,-4007,,,1,,,,,
,-66,,-1950,,-1281,-1568,-2532,,-865,-816,,,-1563,-1235,-1330,,,15,,,,,
,133,,-495,,-286,-130,-532,,-252,-46,,,-174,-80,-192,,,6,,,,,
,388,-19,612,,730,831,694,,705,762,,,1077,893,700,,,-12,,,,,
,194,-1,4031,,3154,3744,4942,,2690,2992,,,3895,3639,4061,,,-3,,,,,
,-681,,1993,,1168,1449,2420,,835,738,,,1444,1238,1558,,,-5,,,,,
,891,,325,,33,189,345,,40,-5,,,159,144,41,,,-6,,,,,
,-684,-13,-747,,-707,-687,-839,,-751,-737,,,-705,-741,-828,,,8,,,,,
,1236,12,-4105,,-3166,-3871,-4908,,-2697,-3031,,,-3871,-3582,-3707,,,-3,,,,,
,-1295,-12,-2053,,-1184,-1764,-2493,,-642,-738,,,-1374,-1269,-1334,,,-5,,,,,
,1520,,-542,,-190,-360,-533,,-3,-36,,,-143,-171,-228,,,12,,,,,
,-1349,-3,721,,775,880,831,,723,765,,,795,747,609,,,2,,,,,
,859,5,4130,,3100,4043,4869,,2593,2997,,,3820,3680,3900,,,-5,,,,,
,-740,11,2265,,1212,1694,2566,,680,801,,,1448,1315,1584,,,-10,,,,,
,-171,-1,511,,310,217,719,,72,57,,,191,97,276,,,2,,,,,
,-193,-11,-668,,-674,-849,-771,,-697,-778,,,-979,-842,-637,,,1,,,,,
,45,10,-4304,,-3236,-3921,-4972,,-2729,-3042,,,-3860,-3638,-3933,,,-1,,,,,
,457,-10,-1971,,-1099,-1396,-2461,,-718,-768,,,-1490,-1332,-1618,,,7,,,,,
,-358,1,-291,,-92,-143,-451,,45,-9,,,-44,-103,-279,,,-4,,,,,
,583,9,696,,662,679,785,,716,781,,,976,838,790,,,15,,,,,
,-513,-28,3689,,2874,3546,4553,,2585,2961,,,3876,3650,3938,,,2,,,,,
,353,19,1883,,1112,1534,2380,,740,739,,,1199,1221,1523,,,-5,,,,,
,-529,-18,479,,195,371,547,,-6,-59,,,97,122,136,,,,,,,,
